element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""5650.4""","=""""","=""3.01e+04""",C,"=""13.019401""","=""13.2388265""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5664.09""","=""""","=""1.14e+05""",C,"=""13.7800461""","=""13.9989413""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5673.9""","=""""","=""4.24e+04""",C,"=""13.017878""","=""13.2363957""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5678.8""","=""""","=""2.26e+05""",C,"=""13.7800461""","=""13.99837""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5716.81""","=""""","=""9.84e+04""",D+,"=""13.6511356""","=""13.8680121""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5725.21""","=""""","=""1.09e+06""",D+,"=""13.7697973""","=""13.9863558""","=""2s2.2p2.(3P).5p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5729.11""","=""""","=""1.03e+05""",C,"=""13.7827230""","=""13.9991340""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5734.21""","=""""","=""1.76e+05""",C,"=""13.7827230""","=""13.9989413""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5746.71""","=""""","=""1.07e+06""",D+,"=""13.7697973""","=""13.9855454""","=""2s2.2p2.(3P).5p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5749.3""","=""""","=""2.18e+05""",C,"=""13.7827230""","=""13.99837""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5771.88""","=""""","=""1.15e+06""",C,"=""13.7886883""","=""14.0034956""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5786.34""","=""""","=""9.51e+05""",C,"=""13.7869000""","=""14.0011704""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5791.4""","=""""","=""7.09e+04""",D+,"=""13.7800461""","=""13.994130""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5835.04""","=""""","=""1.86e+05""",C,"=""13.7886883""","=""14.0011704""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5858.01""","=""""","=""5.88e+04""",C,"=""13.7875408""","=""13.9991896""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5859.56""","=""""","=""2.36e+05""",C,"=""13.7875408""","=""13.9991340""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5864.7""","=""""","=""6.83e+04""",D+,"=""13.7827230""","=""13.994130""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5864.90""","=""""","=""1.44e+05""",C,"=""13.7875408""","=""13.9989413""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5901.6""","=""""","=""6.70e+03""",D+,"=""13.7800461""","=""13.990131""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5920.19""","=""""","=""1.64e+05""",D+,"=""13.6149817""","=""13.8244077""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5932.95""","=""""","=""1.69e+05""",D+,"=""13.6655516""","=""13.8745272""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""5977.8""","=""""","=""4.13e+04""",D+,"=""13.7827230""","=""13.990131""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6026.63""","=""""","=""2.52e+03""",D+,"=""13.7827230""","=""13.9884501""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6059.85""","=""""","=""3.19e+05""",C,"=""13.7945902""","=""13.9991896""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6061.50""","=""""","=""7.07e+04""",C,"=""13.7945902""","=""13.9991340""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6079.59""","=""""","=""3.02e+05""",D+,"=""13.6204726""","=""13.8244077""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6106.94""","=""""","=""5.00e+05""",C,"=""13.7959196""","=""13.9989413""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6119.9""","=""""","=""7.57e+04""",D+,"=""13.7875408""","=""13.990131""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6123.87""","=""""","=""2.56e+04""",D+,"=""13.6655516""","=""13.8680121""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6124.1""","=""""","=""9.93e+05""",C,"=""13.7959196""","=""13.99837""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6153.90""","=""""","=""8.22e+05""",C,"=""13.7976614""","=""13.9991340""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6159.79""","=""""","=""6.24e+05""",C,"=""13.7976614""","=""13.9989413""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6171.15""","=""""","=""2.11e+04""",D+,"=""13.7875408""","=""13.9884501""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6175.49""","=""""","=""2.18e+04""",C,"=""13.6737591""","=""13.8745272""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6177.2""","=""""","=""1.93e+05""",C,"=""13.7976614""","=""13.99837""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6186.59""","=""""","=""1.06e+06""",C,"=""13.7800461""","=""13.9804540""","=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6216.13""","=""""","=""7.82e+04""",D+,"=""13.7869000""","=""13.9863558""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6219.38""","=""""","=""1.22e+05""",D+,"=""13.6686606""","=""13.8680121""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6241.48""","=""""","=""1.93e+04""",D+,"=""13.7869000""","=""13.9855454""","=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6248.15""","=""""","=""1.47e+06""",C,"=""13.7945902""","=""13.9930238""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""9/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6255.2""","=""""","=""7.42e+04""",D+,"=""13.7959196""","=""13.994130""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6268.94""","=""""","=""1.09e+06""",C,"=""13.7827230""","=""13.9804985""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6270.35""","=""""","=""4.08e+05""",C,"=""13.7827230""","=""13.9804540""","=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6272.36""","=""""","=""3.81e+04""",D+,"=""13.7886883""","=""13.9863558""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6274.67""","=""""","=""1.25e+06""",C,"=""13.7875408""","=""13.9851355""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""7/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""6297.9""","=""""","=""1.09e+03""",C+,"=""26.066417""","=""26.263284""","=""2s2.2p.4d""","=""3D*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5520LS""","=""""",
N,1,"=""""","=""6298.18""","=""""","=""9.40e+04""",D+,"=""13.7886883""","=""13.9855454""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6310.6""","=""""","=""3.62e+05""",D+,"=""13.7976614""","=""13.994130""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6312.01""","=""""","=""1.09e+06""",C,"=""13.8027638""","=""13.9991896""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6313.80""","=""""","=""3.26e+05""",C,"=""13.8027638""","=""13.9991340""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6320.00""","=""""","=""5.42e+04""",C,"=""13.8027638""","=""13.9989413""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6350.39""","=""""","=""3.98e+05""",D+,"=""13.6291690""","=""13.8244077""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6382.61""","=""""","=""4.15e+05""",C,"=""13.6737591""","=""13.8680121""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6384.0""","=""""","=""1.75e+05""",D+,"=""13.7959196""","=""13.990131""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6395.55""","=""""","=""8.42e+04""",D+,"=""13.7945902""","=""13.9884501""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""6403.6""","=""""","=""1.56e+04""",C+,"=""26.069666""","=""26.263284""","=""2s2.2p.4d""","=""3D*""","=""2""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5520LS""","=""""",
N,1,"=""""","=""6425.46""","=""""","=""3.29e+05""",C,"=""13.7875408""","=""13.9804985""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6426.94""","=""""","=""2.70e+04""",C,"=""13.7875408""","=""13.9804540""","=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6441.7""","=""""","=""5.44e+04""",D+,"=""13.7976614""","=""13.990131""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6480.26""","=""""","=""3.77e+05""",C,"=""13.6832014""","=""13.8745272""","=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""6495.1""","=""""","=""2.49e+04""",C+,"=""26.066417""","=""26.257305""","=""2s2.2p.4d""","=""3D*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""6498.51""","=""""","=""1.19e+05""",D+,"=""13.7976614""","=""13.9884501""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6506.81""","=""""","=""1.86e+05""",C,"=""13.7945902""","=""13.9851355""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""7/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""6553.1""","=""""","=""8.15e+04""",C+,"=""26.074085""","=""26.263284""","=""2s2.2p.4d""","=""3D*""","=""3""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5520LS""","=""""",
N,2,"=""""","=""6607.6""","=""""","=""7.09e+04""",C+,"=""26.069666""","=""26.257305""","=""2s2.2p.4d""","=""3D*""","=""2""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""6617.2""","=""""","=""1.69e+05""",D+,"=""13.8027638""","=""13.990131""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""6624.6""","=""""","=""9.39e+04""",C+,"=""26.066417""","=""26.253573""","=""2s2.2p.4d""","=""3D*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""0""",,"=""T5520LS""","=""""",
N,1,"=""""","=""6669.10""","=""""","=""1.17e+04""",C,"=""13.7945902""","=""13.9804985""","=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6677.08""","=""""","=""2.56e+05""",D+,"=""13.8027638""","=""13.9884501""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6786.97""","=""""","=""4.57e+05""",D+,"=""13.6149817""","=""13.7976614""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6801.43""","=""""","=""3.27e+05""",D+,"=""13.6204726""","=""13.8027638""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6852.30""","=""""","=""1.78e+05""",D+,"=""13.6149817""","=""13.7959196""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6856.00""","=""""","=""4.62e+03""",C,"=""13.6936867""","=""13.8745272""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6966.87""","=""""","=""6.17e+04""",C,"=""13.6965647""","=""13.8745272""","=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""6997.29""","=""""","=""1.34e+05""",D+,"=""13.6204726""","=""13.7976614""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""7066.76""","=""""","=""8.10e+05""",D+,"=""13.6204726""","=""13.7959196""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""",,"=""u18,LS""","=""""",
